review_rank,split,galaxy,filename,cut_category,component_id,probability_mass,max_probability,mean_probability,area_over_beam,velocity_extent_kms,spatial_extent_kpc,edge_touching,velocity_edge_touching,velocity_extent_gt_70kms,review_priority
531,test,ho_ii,ho_ii__std_000190.npy,spatial_offset_16pix__shell_major,1,743.756591796875,0.9998956918716431,0.8801853060722351,9.71264367816092,43.75,1.0546875,0,0,0,high_confidence_review
532,test,ngc_3184,ngc_3184__std_000688.npy,spatial_offset_8pix__shell_minor,1,743.5772705078125,0.9996639490127563,0.870699405670166,31.62962962962963,39.583333333333336,1.11328125,0,0,0,high_confidence_review
533,stress,ngc_3031,ngc_3031__std_004948.npy,spatial_offset_16pix__shell_major,3,743.5513916015625,0.9993748664855957,0.8363907933235168,10.975308641975309,45.833333333333336,0.95703125,0,0,0,high_confidence_review
534,stress,ngc_3031,ngc_3031__std_006904.npy,spatial_offset_16pix__shell_minor,1,743.5263671875,0.9994920492172241,0.8686055541038513,10.567901234567902,43.75,1.0546875,0,0,0,high_confidence_review
535,stress,ngc_3031,ngc_3031__std_001687.npy,velocity_offset_+30kms,3,743.3006591796875,0.999235212802887,0.862297773361206,10.641975308641975,43.75,1.11328125,0,0,0,high_confidence_review
536,stress,ngc_3031,ngc_3031__std_006515.npy,spatial_offset_16pix__shell_minor,3,743.2728271484375,0.9991385340690613,0.8703429102897644,10.54320987654321,50.0,0.859375,0,0,0,high_confidence_review
537,stress,ngc_3031,ngc_3031__std_000757.npy,centered_positive__galaxy_minor,2,742.99755859375,0.9582492709159851,0.7069434523582458,12.975308641975309,70.83333333333334,1.73828125,0,0,1,review_velocity_broad
538,test,ho_ii,ho_ii__std_000202.npy,velocity_offset_-30kms,1,742.9534912109375,0.9999977350234985,0.9104822278022766,9.379310344827585,41.66666666666667,0.9375,0,0,0,high_confidence_review
539,stress,ngc_3031,ngc_3031__std_001794.npy,centered_positive__shell_major,2,742.9475708007812,0.9998477101325989,0.8598930239677429,10.666666666666666,43.75,0.99609375,0,0,0,high_confidence_review
540,stress,ngc_3031,ngc_3031__std_001278.npy,spatial_offset_4pix__shell_major,3,742.7261962890625,0.9995617270469666,0.8517502546310425,10.765432098765432,43.75,1.07421875,0,0,0,high_confidence_review
541,test,ho_ii,ho_ii__std_000992.npy,spatial_offset_4pix__shell_major,2,742.490234375,0.9968369603157043,0.8222483396530151,10.379310344827585,31.250000000000004,1.4453125,0,0,0,high_confidence_review
542,test,ho_ii,ho_ii__std_000690.npy,spatial_offset_16pix__shell_minor,3,742.3087158203125,0.9989056587219238,0.8303229212760925,10.275862068965518,35.41666666666667,1.2890625,0,0,0,high_confidence_review
543,stress,ngc_3031,ngc_3031__std_002287.npy,random_nearby_grazing,1,742.086181640625,0.9898507595062256,0.7556885480880737,12.123456790123457,35.41666666666667,1.640625,0,0,0,high_confidence_review
544,stress,ngc_3031,ngc_3031__std_006365.npy,velocity_offset_-15kms,2,742.06396484375,0.9996988773345947,0.8618628978729248,10.62962962962963,41.66666666666667,1.09375,0,0,0,high_confidence_review
545,stress,ngc_3031,ngc_3031__std_004743.npy,spatial_offset_4pix__shell_minor,1,741.7037353515625,0.9869676828384399,0.7857031226158142,11.654320987654321,66.66666666666667,0.78125,0,0,0,high_confidence_review
