component_id,threshold,area_pix,max_probability,mean_probability,integrated_probability_mass,bbox_v0,bbox_pos0,bbox_v1,bbox_pos1,centroid_v,centroid_pos,aspect_ratio_pos_over_vel,major_extent_pix,minor_extent_pix,distance_from_image_edge_pix,edge_touching,velocity_extent_kms,spatial_extent_pix,spatial_extent_native,has_pos_axis_metadata,component_count_in_patch,largest_component_area_pix,galaxy,patch_id,patch_name,source_type,source,shell_id,orientation,offset_fraction,pv_cut_center,pv_cut_angle,velocity_extent_plausibility_warning,edge_artifact_warning
1,0.075,164,0.9796488285064697,0.4924659729003906,80.76441955566406,13,25,24,40,18.463414634146343,32.50609756097561,1.3333333333333333,16,12,13,False,30922.6875,16,16.0,True,2,164,ddo53,ddo53__cat_T1_S0001_shell_minor_op0p00,ddo53__cat_T1_S0001_shell_minor_op0p00.npy,catalog_shell,catalog_augmented,1,shell_minor,0.0,"[506.0319196998422, 476.00020462527965]",shell_minor,True,False
3,0.075,21,0.11391185224056244,0.09081941843032837,1.907207727432251,17,59,22,63,19.666666666666668,61.19047619047619,0.8333333333333334,6,5,1,False,15461.34375,5,5.0,True,2,164,ddo53,ddo53__cat_T1_S0001_shell_minor_op0p00,ddo53__cat_T1_S0001_shell_minor_op0p00.npy,catalog_shell,catalog_augmented,1,shell_minor,0.0,"[506.0319196998422, 476.00020462527965]",shell_minor,True,False
1,0.075,151,0.8865196704864502,0.4054431617259979,61.22191619873047,12,26,24,40,18.08609271523179,33.0728476821192,1.1538461538461537,15,13,12,False,33499.578125,15,15.0,True,2,151,ddo53,ddo53__cat_T1_S0001_shell_minor_op0p50,ddo53__cat_T1_S0001_shell_minor_op0p50.npy,catalog_shell,catalog_augmented,1,shell_minor,0.5,"[503.62395743024973, 473.50668670065266]",shell_minor,True,False
2,0.075,36,0.1231643334031105,0.0950516015291214,3.4218575954437256,16,57,21,64,18.416666666666668,60.80555555555556,1.3333333333333333,8,6,0,True,15461.34375,8,8.0,True,2,151,ddo53,ddo53__cat_T1_S0001_shell_minor_op0p50,ddo53__cat_T1_S0001_shell_minor_op0p50.npy,catalog_shell,catalog_augmented,1,shell_minor,0.5,"[503.62395743024973, 473.50668670065266]",shell_minor,True,True
1,0.075,385,0.9041048884391785,0.3140263557434082,120.900146484375,12,0,24,39,17.924675324675324,19.997402597402598,3.076923076923077,40,13,0,True,33499.578125,40,40.0,True,1,385,ddo53,ddo53__cat_T2_S0002_galaxy_major_om0p50,ddo53__cat_T2_S0002_galaxy_major_om0p50.npy,catalog_shell,catalog_augmented,2,galaxy_major,-0.5,"[497.5644550207153, 477.2224013943074]",galaxy_major,True,True
1,0.075,477,0.8712265491485596,0.27686426043510437,132.0642547607422,12,0,24,50,18.21174004192872,25.39832285115304,3.923076923076923,51,13,0,True,33499.578125,51,51.0,True,1,477,ddo53,ddo53__cat_T2_S0002_galaxy_major_op0p00,ddo53__cat_T2_S0002_galaxy_major_op0p00.npy,catalog_shell,catalog_augmented,2,galaxy_major,0.0,"[499.1660516466073, 479.0011546507313]",galaxy_major,True,True
1,0.075,216,0.414762943983078,0.22754478454589844,49.14967346191406,13,0,24,22,18.63888888888889,10.731481481481481,1.9166666666666667,23,12,0,True,30922.6875,23,23.0,True,2,269,ddo53,ddo53__cat_T2_S0002_galaxy_major_op0p50,ddo53__cat_T2_S0002_galaxy_major_op0p50.npy,catalog_shell,catalog_augmented,2,galaxy_major,0.5,"[500.7676482724993, 480.7799079071552]",galaxy_major,True,True
2,0.075,269,0.8496438264846802,0.35796427726745605,96.29238891601562,13,25,24,50,18.721189591078065,37.38289962825279,2.1666666666666665,26,12,13,False,30922.6875,26,26.0,True,2,269,ddo53,ddo53__cat_T2_S0002_galaxy_major_op0p50,ddo53__cat_T2_S0002_galaxy_major_op0p50.npy,catalog_shell,catalog_augmented,2,galaxy_major,0.5,"[500.7676482724993, 480.7799079071552]",galaxy_major,True,False
1,0.075,164,0.47260260581970215,0.24278222024440765,39.8162841796875,8,0,21,14,14.896341463414634,6.189024390243903,1.0714285714285714,15,14,0,True,36076.46875,15,15.0,True,3,244,ddo53,ddo53__cat_T2_S0002_galaxy_minor_om0p50,ddo53__cat_T2_S0002_galaxy_minor_om0p50.npy,catalog_shell,catalog_augmented,2,galaxy_minor,-0.5,"[501.3134688829773, 477.0676114863088]",galaxy_minor,True,True
2,0.075,244,0.9826276898384094,0.4854371249675751,118.4466552734375,11,21,24,42,17.62295081967213,32.057377049180324,1.5714285714285714,22,14,11,False,36076.46875,22,22.0,True,3,244,ddo53,ddo53__cat_T2_S0002_galaxy_minor_om0p50,ddo53__cat_T2_S0002_galaxy_minor_om0p50.npy,catalog_shell,catalog_augmented,2,galaxy_minor,-0.5,"[501.3134688829773, 477.0676114863088]",galaxy_minor,True,False
