split,galaxy,cut_category,threshold,patches,positive_patches,negative_patches,patch_tp,patch_fp,patch_fn,patch_tn,pixel_tp,pixel_fp,pixel_fn,patch_precision,patch_recall,patch_f1,pixel_precision,pixel_recall,pixel_f1
test,ho_ii,centered_positive__galaxy_minor,0.05,80,80,0,80,0,0,0,24820,46162,19218,1.0,1.0,1.0,0.3496661125355724,0.5636041600435987,0.43157711702312646
test,ho_ii,centered_positive__galaxy_minor,0.075,80,80,0,80,0,0,0,24480,44652,19558,1.0,1.0,1.0,0.3541051900711682,0.5558835551114946,0.43262348678978524
test,ho_ii,centered_positive__shell_major,0.05,80,80,0,80,0,0,0,28910,47070,18462,1.0,1.0,1.0,0.38049486707028163,0.6102761124715022,0.46873986639859905
test,ho_ii,centered_positive__shell_major,0.075,80,80,0,80,0,0,0,28602,45566,18770,1.0,1.0,1.0,0.3856380110020494,0.6037743814911762,0.4706598650649992
test,ho_ii,centered_positive__shell_minor,0.05,80,80,0,80,0,0,0,23010,49942,18222,1.0,1.0,1.0,0.3154128742186643,0.5580616996507567,0.40303369999299377
test,ho_ii,centered_positive__shell_minor,0.075,80,80,0,80,0,0,0,22780,48328,18452,1.0,1.0,1.0,0.3203577656522473,0.5524835079549865,0.40555456649457
test,ho_ii,fine_grid_deployment_like,0.05,190,34,156,34,52,0,104,6510,18716,7168,0.3953488372093023,1.0,0.5666666666666667,0.2580670736541663,0.4759467758444217,0.33466995681677975
test,ho_ii,fine_grid_deployment_like,0.075,190,34,156,34,44,0,112,6420,17910,7258,0.4358974358974359,1.0,0.6071428571428571,0.2638717632552404,0.46936686650095044,0.3378236160808251
test,ho_ii,random_nearby_grazing,0.05,160,160,0,160,0,0,0,43736,106428,29036,1.0,1.0,1.0,0.2912548946485176,0.6010003847633705,0.3923637277066064
test,ho_ii,random_nearby_grazing,0.075,160,160,0,160,0,0,0,43228,103252,29544,1.0,1.0,1.0,0.29511196067722556,0.5940196778980926,0.39432251473190666
test,ho_ii,spatial_offset_16pix__shell_major,0.05,160,148,12,148,12,0,0,40016,111176,23488,0.925,1.0,0.961038961038961,0.2646700883644637,0.6301335348954397,0.37276893840593206
test,ho_ii,spatial_offset_16pix__shell_major,0.075,160,148,12,148,12,0,0,39520,107974,23984,0.925,1.0,0.961038961038961,0.26794310277028216,0.6223230032753843,0.3746007071157072
test,ho_ii,spatial_offset_16pix__shell_minor,0.05,160,134,26,134,26,0,0,33202,100438,34606,0.8375,1.0,0.9115646258503401,0.24844357976653697,0.48964723926380366,0.32963345379452763
